Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,STATE
73,3/8/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,UTTAR PRADESH
74,3/9/2020,6:00 PM,Ladakh,2,0,0,0,2,LADAKH
75,3/9/2020,6:00 PM,Karnataka,1,0,0,0,1,KARNATAKA
76,3/9/2020,6:00 PM,Kerala,9,0,3,0,9,KERALA
77,3/9/2020,6:00 PM,Maharashtra,2,0,0,0,2,MAHARASHTRA
78,3/9/2020,6:00 PM,Punjab,1,0,0,0,1,PUNJAB
79,3/9/2020,6:00 PM,Rajasthan,1,14,0,0,15,RAJASTHAN
80,3/9/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,TAMIL NADU
81,3/9/2020,6:00 PM,Telengana,1,0,0,0,1,TELENGANA
82,3/9/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,JAMMU AND KASHMIR
83,3/9/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,UTTAR PRADESH
84,3/9/2020,6:00 PM,Haryana,0,2,0,0,2,HARYANA
85,3/9/2020,6:00 PM,Delhi,4,0,0,0,4,DELHI
86,3/10/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,UTTAR PRADESH
87,3/10/2020,6:00 PM,Ladakh,2,0,0,0,2,LADAKH
88,3/10/2020,6:00 PM,Delhi,4,0,0,0,4,DELHI
89,3/10/2020,6:00 PM,Haryana,0,2,0,0,2,HARYANA
90,3/10/2020,6:00 PM,Karnataka,4,0,0,0,4,KARNATAKA
91,3/10/2020,6:00 PM,Kerala,15,0,3,0,15,KERALA
92,3/10/2020,6:00 PM,Maharashtra,5,0,0,0,5,MAHARASHTRA
93,3/10/2020,6:00 PM,Punjab,1,0,0,0,1,PUNJAB
94,3/10/2020,6:00 PM,Rajasthan,1,14,0,0,15,RAJASTHAN
95,3/10/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,TAMIL NADU
96,3/10/2020,6:00 PM,Telengana,1,0,0,0,1,TELENGANA
97,3/10/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,JAMMU AND KASHMIR
98,3/11/2020,6:00 PM,Maharashtra,2,0,0,0,2,MAHARASHTRA
99,3/11/2020,6:00 PM,Delhi,5,0,0,0,5,DELHI
100,3/11/2020,6:00 PM,Haryana,0,14,0,0,14,HARYANA
101,3/11/2020,6:00 PM,Kerala,17,0,3,0,17,KERALA
102,3/11/2020,6:00 PM,Rajasthan,1,2,0,0,3,RAJASTHAN
103,3/11/2020,6:00 PM,Telengana,1,0,0,0,1,TELENGANA
104,3/11/2020,6:00 PM,Uttar Pradesh,9,0,0,0,9,UTTAR PRADESH
105,3/11/2020,6:00 PM,Ladakh,2,0,0,0,2,LADAKH
106,3/11/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,TAMIL NADU
107,3/11/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,JAMMU AND KASHMIR
108,3/11/2020,6:00 PM,Punjab,1,0,0,0,1,PUNJAB
109,3/11/2020,6:00 PM,Karnataka,4,0,0,0,4,KARNATAKA
110,3/12/2020,6:00 PM,Delhi,6,0,0,0,6,DELHI
111,3/12/2020,6:00 PM,Haryana,0,14,0,0,14,HARYANA
112,3/12/2020,6:00 PM,Kerala,17,0,3,0,17,KERALA
113,3/12/2020,6:00 PM,Rajasthan,1,2,0,0,3,RAJASTHAN
114,3/12/2020,6:00 PM,Telengana,1,0,0,0,1,TELENGANA
115,3/12/2020,6:00 PM,Uttar Pradesh,10,1,0,0,11,UTTAR PRADESH
116,3/12/2020,6:00 PM,Ladakh,3,0,0,0,3,LADAKH
117,3/12/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,TAMIL NADU
118,3/12/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,JAMMU AND KASHMIR
119,3/12/2020,6:00 PM,Punjab,1,0,0,0,1,PUNJAB
120,3/12/2020,6:00 PM,Karnataka,4,0,0,0,4,KARNATAKA
121,3/12/2020,6:00 PM,Maharashtra,11,0,0,0,11,MAHARASHTRA
122,3/12/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,ANDHRA PRADESH
123,3/13/2020,6:00 PM,Delhi,6,0,0,0,6,DELHI
124,3/13/2020,6:00 PM,Haryana,0,14,0,0,14,HARYANA
125,3/13/2020,6:00 PM,Kerala,19,0,3,0,19,KERALA
126,3/13/2020,6:00 PM,Rajasthan,1,2,0,0,3,RAJASTHAN
127,3/13/2020,6:00 PM,Telengana,1,0,0,0,1,TELENGANA
128,3/13/2020,6:00 PM,Uttar Pradesh,10,1,0,0,11,UTTAR PRADESH
129,3/13/2020,6:00 PM,Ladakh,3,0,0,0,3,LADAKH
130,3/13/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,TAMIL NADU
131,3/13/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,JAMMU AND KASHMIR
132,3/13/2020,6:00 PM,Punjab,1,0,0,0,1,PUNJAB
133,3/13/2020,6:00 PM,Karnataka,6,0,0,1,6,KARNATAKA
134,3/13/2020,6:00 PM,Maharashtra,14,0,0,0,14,MAHARASHTRA
135,3/13/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,ANDHRA PRADESH
136,3/14/2020,6:00 PM,Delhi,7,0,1,1,7,DELHI
137,3/14/2020,6:00 PM,Haryana,0,14,0,0,14,HARYANA
138,3/14/2020,6:00 PM,Kerala,19,0,3,0,19,KERALA
139,3/14/2020,6:00 PM,Rajasthan,1,2,1,0,3,RAJASTHAN
140,3/14/2020,6:00 PM,Telengana,1,0,0,0,1,TELENGANA
141,3/14/2020,6:00 PM,Uttar Pradesh,11,1,5,0,12,UTTAR PRADESH
142,3/14/2020,6:00 PM,Ladakh,3,0,0,0,3,LADAKH
143,3/14/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,TAMIL NADU
144,3/14/2020,6:00 PM,Jammu and Kashmir,2,0,0,0,2,JAMMU AND KASHMIR
145,3/14/2020,6:00 PM,Punjab,1,0,0,0,1,PUNJAB
146,3/14/2020,6:00 PM,Karnataka,6,0,0,1,6,KARNATAKA
147,3/14/2020,6:00 PM,Maharashtra,14,0,0,0,14,MAHARASHTRA
148,3/14/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,ANDHRA PRADESH
149,3/15/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,ANDHRA PRADESH
150,3/15/2020,6:00 PM,Delhi,7,0,2,1,7,DELHI
151,3/15/2020,6:00 PM,Haryana,0,14,0,0,14,HARYANA
152,3/15/2020,6:00 PM,Karnataka,6,0,0,1,6,KARNATAKA
153,3/15/2020,6:00 PM,Kerala,22,0,3,0,22,KERALA
154,3/15/2020,6:00 PM,Maharashtra,32,0,0,0,32,MAHARASHTRA
155,3/15/2020,6:00 PM,Punjab,1,0,0,0,1,PUNJAB
156,3/15/2020,6:00 PM,Rajasthan,2,2,3,0,4,RAJASTHAN
157,3/15/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,TAMIL NADU
158,3/15/2020,6:00 PM,Telengana,3,0,1,0,3,TELENGANA
159,3/15/2020,6:00 PM,Jammu and Kashmir,2,0,0,0,2,JAMMU AND KASHMIR
160,3/15/2020,6:00 PM,Ladakh,3,0,0,0,3,LADAKH
161,3/15/2020,6:00 PM,Uttar Pradesh,12,1,4,0,13,UTTAR PRADESH
162,3/15/2020,6:00 PM,Uttarakhand,1,0,0,0,1,UTTARAKHAND
163,3/16/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,ANDHRA PRADESH
164,3/16/2020,6:00 PM,Delhi,7,0,2,1,7,DELHI
165,3/16/2020,6:00 PM,Haryana,0,14,0,0,14,HARYANA
166,3/16/2020,6:00 PM,Karnataka,6,0,0,1,6,KARNATAKA
167,3/16/2020,6:00 PM,Kerala,23,0,3,0,23,KERALA
168,3/16/2020,6:00 PM,Maharashtra,32,0,0,0,32,MAHARASHTRA
169,3/16/2020,6:00 PM,Odisha,1,0,0,0,1,ODISHA
170,3/16/2020,6:00 PM,Punjab,1,0,0,0,1,PUNJAB
171,3/16/2020,6:00 PM,Rajasthan,2,2,3,0,4,RAJASTHAN
172,3/16/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,TAMIL NADU
173,3/16/2020,6:00 PM,Telengana,3,0,1,0,3,TELENGANA
174,3/16/2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3,JAMMU AND KASHMIR
175,3/16/2020,6:00 PM,Ladakh,4,0,0,0,4,LADAKH
176,3/16/2020,6:00 PM,Uttar Pradesh,12,1,4,0,13,UTTAR PRADESH
177,3/16/2020,6:00 PM,Uttarakhand,1,0,0,0,1,UTTARAKHAND
178,3/17/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,ANDHRA PRADESH
179,3/17/2020,6:00 PM,Delhi,8,0,2,1,8,DELHI
180,3/17/2020,6:00 PM,Haryana,1,14,0,0,15,HARYANA
181,3/17/2020,6:00 PM,Karnataka,11,0,0,1,11,KARNATAKA
182,3/17/2020,6:00 PM,Kerala,24,2,3,0,26,KERALA
183,3/17/2020,6:00 PM,Maharashtra,36,3,0,1,39,MAHARASHTRA
